#    object_id            ra              dec               x                y          realized_flux         flux             mag            obj_type     
  10430000726418   7.44347879e+00  -4.48950626e+01   2.85247048e+02   4.37074983e+02   3.07500000e+03   3.03140549e+03   6.31943711e+00           galaxy
  10430000726419   7.44734740e+00  -4.48961803e+01   3.42065910e+02   3.53192401e+02   7.83300000e+03   7.76621473e+03   5.29802371e+00           galaxy
  10430000727845   7.45122314e+00  -4.49178771e+01   3.08352572e+01  -3.40917107e+02   4.59000000e+02   4.39204478e+02   8.41688029e+00           galaxy
  10430000728116   7.49481409e+00  -4.48852282e+01   1.48046159e+03   5.48787147e+01   1.23000000e+02   1.09732971e+02   9.92270435e+00           galaxy
  10430000728222   7.54894359e+00  -4.47951864e+01   4.16877442e+03   2.01121865e+03   1.14000000e+02   1.01037652e+02   1.00123391e+01           galaxy
  10430000728223   7.54914821e+00  -4.47941887e+01   4.19072488e+03   2.03808164e+03   4.10000000e+01   5.42449177e+01   1.06876496e+01           galaxy
  10430000728224   7.54942891e+00  -4.47943731e+01   4.19299708e+03   2.02892110e+03   4.73200000e+03   4.67926853e+03   5.84810227e+00           galaxy
  10430000728318   7.52165615e+00  -4.47992031e+01   3.55444214e+03   2.25137613e+03   1.00200000e+03   9.75230143e+02   7.55077940e+00           galaxy
  10430000728457   7.51393526e+00  -4.48007068e+01   3.37403416e+03   2.30840285e+03   4.50000000e+01   2.99234908e+01   1.13335166e+01           galaxy
  10430000728458   7.51364416e+00  -4.48005693e+01   3.37071047e+03   2.31630669e+03   2.20000000e+01   2.06993730e+01   1.17336542e+01           galaxy
  10430000728640   7.44678733e+00  -4.48527374e+01   1.10812811e+03   1.64857555e+03   1.52000000e+03   1.48873968e+03   7.09150028e+00           galaxy
  10430000728642   7.56945547e+00  -4.47972476e+01   4.53943539e+03   1.68004282e+03   2.54900000e+03   2.50914941e+03   6.52473089e+00           galaxy
  10430000729445   7.46499922e+00  -4.48805886e+01   9.71551541e+02   5.83828088e+02   5.66100000e+03   5.60374757e+03   5.65235078e+00           galaxy
  10430000729446   7.46439849e+00  -4.48799568e+01   9.70928504e+02   6.10441623e+02   1.21000000e+02   1.07878390e+02   9.94121106e+00           galaxy
  10430000730019   7.49419233e+00  -4.48157463e+01   2.71226387e+03   2.12235220e+03   3.66000000e+02   3.48028312e+02   8.66951075e+00           galaxy
  10430000730021   7.41834100e+00  -4.48069714e+01   1.36112192e+03   3.37907604e+03   2.40000000e+01   3.28101060e+01   1.12335281e+01           galaxy
  10430000730022   7.41881068e+00  -4.48075748e+01   1.35967567e+03   3.35501597e+03   2.20000000e+01   2.07205260e+01   1.17325452e+01           galaxy
  10430000730245   7.52187327e+00  -4.47414971e+01   4.59258967e+03   3.95843024e+03   2.01000000e+02   1.85934101e+02   9.35014957e+00           galaxy
  10430000730266   7.38588851e+00  -4.48001869e+01   8.36776717e+02   4.00627822e+03   8.86000000e+02   8.60312912e+02   7.68690609e+00           galaxy
  10430000730888   7.50175147e+00  -4.48275392e+01   2.65130593e+03   1.67346314e+03   2.28000000e+02   2.12951910e+02   9.20284334e+00           galaxy
  10430000732004   7.51018866e+00  -4.47815186e+01   3.64324767e+03   2.92631535e+03   2.96000000e+02   2.79315124e+02   8.90831106e+00           galaxy
  10430000732269   7.55973373e+00  -4.48444162e+01   3.50059150e+03   4.10802930e+02   8.80000000e+01   7.56512480e+01   1.03265069e+01           galaxy
  10430000732346   7.47640470e+00  -4.48445904e+01   1.84239244e+03   1.50117462e+03   2.47100000e+03   2.43137119e+03   6.55891902e+00           galaxy
  10430000732347   7.47835098e+00  -4.48432320e+01   1.90537749e+03   1.51587189e+03   1.17000000e+02   1.04079656e+02   9.98013257e+00           galaxy
  10430000733122   7.54336377e+00  -4.47694140e+01   4.51979251e+03   2.84822585e+03   2.22100000e+03   2.18310778e+03   6.67585925e+00           galaxy
  10430000733212   7.52316196e+00  -4.48221009e+01   3.17413640e+03   1.55307059e+03   2.94000000e+02   2.77602964e+02   8.91498694e+00           galaxy
  10430000733219   7.37957540e+00  -4.47845986e+01   9.89666307e+02   4.55153152e+03   2.30000000e+01   3.22126685e+01   1.12534804e+01           galaxy
  10430000733220   7.37980934e+00  -4.47844671e+01   9.96671872e+02   4.55236126e+03   2.20000000e+01   2.10468184e+01   1.17155811e+01           galaxy
  10430000734065   7.55550485e+00  -4.48238579e+01   3.78517392e+03   1.07546309e+03   1.04000000e+02   9.17389946e+01   1.01171623e+01           galaxy
  10430000734295   7.37998953e+00  -4.48011069e+01   7.02959971e+02   4.05639472e+03   3.00200000e+03   2.95911088e+03   6.34564409e+00           galaxy
  10430000734296   7.38037862e+00  -4.48016205e+01   7.01526489e+02   4.03605527e+03   3.04000000e+02   2.87136867e+02   8.87832480e+00           galaxy
  10430000734799   7.45548094e+00  -4.48141836e+01   1.97069691e+03   2.67744085e+03   3.70000000e+01   5.09486630e+01   1.07557152e+01           galaxy
  10430000735825   7.43151846e+00  -4.47923903e+01   1.88398937e+03   3.63839906e+03   3.01000000e+02   2.84566396e+02   8.88808816e+00           galaxy
  10430000736816   7.43943841e+00  -4.49025097e+01   7.18116714e+01   2.69256213e+02   5.84200000e+03   5.78369415e+03   5.61803389e+00           galaxy
  10430000736817   7.43755910e+00  -4.49019985e+01   4.36412501e+01   3.09055217e+02   1.77000000e+02   1.62485574e+02   9.49651017e+00           galaxy
  10430000737771   7.40385322e+00  -4.48126778e+01   9.70937508e+02   3.40002891e+03   9.50000000e+01   8.24779440e+01   1.02327026e+01           galaxy
  10430000738489   7.45100452e+00  -4.48394076e+01   1.43040928e+03   1.98841565e+03   6.30000000e+02   6.08011941e+02   8.06376692e+00           galaxy
  10430000738860   7.37479977e+00  -4.48321387e+01   4.53100966e+01   3.20392715e+03   8.54000000e+02   8.28865310e+02   7.72733728e+00           galaxy
  10430000739818   7.48826112e+00  -4.48958203e+01   1.16073169e+03  -1.73018582e+02   5.82000000e+02   5.61114288e+02   8.15091887e+00           galaxy
